id,kind,value,ts,src,dst
1,sol->prop_w0,0.091695,1749086260,Facultad_1,ServidorAsync
2,faculty_server_sol_prop_roundtrip_ms,19.791795,1749086260,FacultadAsync:1,ServidorAsync
3,prop->res_mon,6.345099,1749086260,Facultad_1,ServidorAsync
4,faculty_server_ack_res_roundtrip_ms,70.724504,1749086260,FacultadAsync:1,ServidorAsync
5,faculty_processing_total_ms,191.121504,1749086260,FacultadAsync:1,Programa:Prog_1_1
6,response_time_program_faculty_total_ms,192.19545,1749086260,Programa:Prog_1_1,Facultad:1
7,request_outcome,1.0,1749086260,Programa:Prog_1_1,Facultad:1
8,sol->prop_w2,0.06988,1749086262,Facultad_1,ServidorAsync
9,faculty_server_sol_prop_roundtrip_ms,22.436012,1749086262,FacultadAsync:1,ServidorAsync
10,prop->res_mon,5.650828,1749086263,Facultad_1,ServidorAsync
11,faculty_server_ack_res_roundtrip_ms,302.293619,1749086263,FacultadAsync:1,ServidorAsync
12,faculty_processing_total_ms,418.221796,1749086263,FacultadAsync:1,Programa:Prog_1_2
13,response_time_program_faculty_total_ms,419.731663,1749086263,Programa:Prog_1_2,Facultad:1
14,request_outcome,1.0,1749086263,Programa:Prog_1_2,Facultad:1
15,sol->prop_w4,0.071208,1749086265,Facultad_1,ServidorAsync
16,faculty_server_sol_prop_roundtrip_ms,21.266609,1749086265,FacultadAsync:1,ServidorAsync
17,faculty_server_ack_res_roundtrip_ms,5190.14415,1749086270,FacultadAsync:1,ServidorAsync
18,faculty_processing_total_ms,5323.780884,1749086270,FacultadAsync:1,Programa:Prog_1_3
19,sol->prop_w0,0.073384,1749086270,Facultad_1,ServidorAsync
20,faculty_server_sol_prop_roundtrip_ms,17.55826,1749086270,FacultadAsync:1,ServidorAsync
21,response_time_program_faculty_total_ms,5325.515661,1749086270,Programa:Prog_1_3,Facultad:1
22,prop->res_mon,7.66488,1749086270,Facultad_1,ServidorAsync
23,faculty_server_ack_res_roundtrip_ms,77.894693,1749086270,FacultadAsync:1,ServidorAsync
24,faculty_processing_total_ms,185.774706,1749086270,FacultadAsync:1,Programa:Prog_1_5
25,response_time_program_faculty_total_ms,545.754896,1749086270,Programa:Prog_1_5,Facultad:1
26,request_outcome,1.0,1749086271,Programa:Prog_1_5,Facultad:1
27,sol->prop_w2,0.072899,1749086271,Facultad_1,ServidorAsync
28,faculty_server_sol_prop_roundtrip_ms,10.703938,1749086271,FacultadAsync:1,ServidorAsync
29,request_outcome,3.0,1749086270,Programa:Prog_1_3,Facultad:1
30,prop->res_mon,4.707235,1749086271,Facultad_1,ServidorAsync
31,faculty_server_ack_res_roundtrip_ms,311.63329,1749086271,FacultadAsync:1,ServidorAsync
32,faculty_processing_total_ms,482.250519,1749086271,FacultadAsync:1,Programa:Prog_1_4
33,response_time_program_faculty_total_ms,3548.875223,1749086271,Programa:Prog_1_4,Facultad:1
34,request_outcome,1.0,1749086271,Programa:Prog_1_4,Facultad:1
35,sol->prop_w4,0.072395,1749086272,Facultad_2,ServidorAsync
36,faculty_server_sol_prop_roundtrip_ms,15.676727,1749086272,FacultadAsync:2,ServidorAsync
37,faculty_server_ack_res_roundtrip_ms,5267.326712,1749086278,FacultadAsync:2,ServidorAsync
38,faculty_processing_total_ms,5372.91039,1749086278,FacultadAsync:2,Programa:Prog_2_1
39,sol->prop_w0,0.081367,1749086278,Facultad_2,ServidorAsync
40,faculty_server_sol_prop_roundtrip_ms,20.03373,1749086278,FacultadAsync:2,ServidorAsync
41,response_time_program_faculty_total_ms,5375.122327,1749086278,Programa:Prog_2_1,Facultad:2
42,request_outcome,3.0,1749086278,Programa:Prog_2_1,Facultad:2
43,prop->res_mon,6.279867,1749086278,Facultad_2,ServidorAsync
44,faculty_server_ack_res_roundtrip_ms,82.963814,1749086278,FacultadAsync:2,ServidorAsync
45,faculty_processing_total_ms,160.217724,1749086278,FacultadAsync:2,Programa:Prog_2_3
46,sol->prop_w2,0.072239,1749086278,Facultad_2,ServidorAsync
47,response_time_program_faculty_total_ms,551.738521,1749086278,Programa:Prog_2_3,Facultad:2
48,request_outcome,1.0,1749086278,Programa:Prog_2_3,Facultad:2
49,faculty_server_sol_prop_roundtrip_ms,16.418189,1749086278,FacultadAsync:2,ServidorAsync
50,prop->res_mon,3.774782,1749086278,Facultad_2,ServidorAsync
51,faculty_server_ack_res_roundtrip_ms,36.797357,1749086278,FacultadAsync:2,ServidorAsync
52,faculty_processing_total_ms,191.064549,1749086278,FacultadAsync:2,Programa:Prog_2_2
53,response_time_program_faculty_total_ms,3283.476778,1749086278,Programa:Prog_2_2,Facultad:2
54,request_outcome,1.0,1749086278,Programa:Prog_2_2,Facultad:2
55,sol->prop_w4,0.088081,1749086280,Facultad_2,ServidorAsync
56,faculty_server_sol_prop_roundtrip_ms,15.499065,1749086280,FacultadAsync:2,ServidorAsync
57,sol->prop_w0,0.086081,1749086285,Facultad_3,ServidorAsync
58,faculty_server_sol_prop_roundtrip_ms,21.37632,1749086285,FacultadAsync:3,ServidorAsync
59,prop->res_mon,4.918972,1749086285,Facultad_3,ServidorAsync
60,faculty_server_ack_res_roundtrip_ms,190.136588,1749086285,FacultadAsync:3,ServidorAsync
61,faculty_processing_total_ms,327.42966,1749086285,FacultadAsync:3,Programa:Prog_3_1
62,response_time_program_faculty_total_ms,330.093444,1749086285,Programa:Prog_3_1,Facultad:3
63,request_outcome,1.0,1749086285,Programa:Prog_3_1,Facultad:3
64,faculty_server_ack_res_roundtrip_ms,5201.121501,1749086285,FacultadAsync:2,ServidorAsync
65,faculty_processing_total_ms,5489.995299,1749086285,FacultadAsync:2,Programa:Prog_2_4
66,sol->prop_w2,0.214406,1749086285,Facultad_2,ServidorAsync
67,response_time_program_faculty_total_ms,5491.813853,1749086285,Programa:Prog_2_4,Facultad:2
68,request_outcome,3.0,1749086286,Programa:Prog_2_4,Facultad:2
69,faculty_server_sol_prop_roundtrip_ms,13.595292,1749086285,FacultadAsync:2,ServidorAsync
70,prop->res_mon,7.778646,1749086286,Facultad_2,ServidorAsync
71,faculty_server_ack_res_roundtrip_ms,36.439103,1749086286,FacultadAsync:2,ServidorAsync
72,faculty_processing_total_ms,221.900481,1749086286,FacultadAsync:2,Programa:Prog_2_5
73,response_time_program_faculty_total_ms,3249.497135,1749086286,Programa:Prog_2_5,Facultad:2
74,request_outcome,1.0,1749086286,Programa:Prog_2_5,Facultad:2
75,sol->prop_w4,0.064156,1749086287,Facultad_3,ServidorAsync
76,faculty_server_sol_prop_roundtrip_ms,24.813563,1749086287,FacultadAsync:3,ServidorAsync
77,faculty_server_ack_res_roundtrip_ms,5059.377398,1749086293,FacultadAsync:3,ServidorAsync
78,faculty_processing_total_ms,5151.92692,1749086293,FacultadAsync:3,Programa:Prog_3_2
79,sol->prop_w0,0.06917,1749086293,Facultad_3,ServidorAsync
80,faculty_server_sol_prop_roundtrip_ms,20.597722,1749086293,FacultadAsync:3,ServidorAsync
81,prop->res_mon,18.369208,1749086293,Facultad_3,ServidorAsync
82,response_time_program_faculty_total_ms,5153.800881,1749086293,Programa:Prog_3_2,Facultad:3
83,request_outcome,3.0,1749086293,Programa:Prog_3_2,Facultad:3
84,faculty_server_ack_res_roundtrip_ms,49.140246,1749086293,FacultadAsync:3,ServidorAsync
85,faculty_processing_total_ms,249.883525,1749086293,FacultadAsync:3,Programa:Prog_3_4
86,sol->prop_w2,0.07368,1749086293,Facultad_3,ServidorAsync
87,faculty_server_sol_prop_roundtrip_ms,35.938845,1749086293,FacultadAsync:3,ServidorAsync
88,response_time_program_faculty_total_ms,461.855484,1749086293,Programa:Prog_3_4,Facultad:3
89,request_outcome,1.0,1749086293,Programa:Prog_3_4,Facultad:3
90,prop->res_mon,8.397736,1749086293,Facultad_3,ServidorAsync
91,faculty_server_ack_res_roundtrip_ms,137.776982,1749086293,FacultadAsync:3,ServidorAsync
92,faculty_processing_total_ms,272.809392,1749086293,FacultadAsync:3,Programa:Prog_3_3
93,response_time_program_faculty_total_ms,3296.608997,1749086293,Programa:Prog_3_3,Facultad:3
94,request_outcome,1.0,1749086293,Programa:Prog_3_3,Facultad:3
95,sol->prop_w4,0.078996,1749086295,Facultad_3,ServidorAsync
96,faculty_server_sol_prop_roundtrip_ms,33.989126,1749086295,FacultadAsync:3,ServidorAsync
