id,kind,value,ts,src,dst
1,sol->prop_w0,0.187495,1749085256,Facultad_1,SERVER
2,faculty_server_sol_prop_roundtrip_ms,12.385607,1749085256,FacultadLBB:1,ServidorLBB
3,prop->res_w1,4.897868,1749085256,Fac_Desconocida,SERVER
4,faculty_server_ack_res_roundtrip_ms,8.676744,1749085256,FacultadLBB:1,ServidorLBB
5,faculty_processing_total_ms,94.984021,1749085256,FacultadLBB:1,Programa:Prog_1_1
6,response_time_program_faculty_total_ms,96.992873,1749085256,Programa:Prog_1_1,Facultad:1
7,request_outcome,1.0,1749085256,Programa:Prog_1_1,Facultad:1
8,sol->prop_w2,0.123331,1749085258,Facultad_1,SERVER
9,faculty_server_sol_prop_roundtrip_ms,12.480669,1749085258,FacultadLBB:1,ServidorLBB
10,prop->res_w3,3.143307,1749085258,Fac_Desconocida,SERVER
11,faculty_server_ack_res_roundtrip_ms,7.718439,1749085258,FacultadLBB:1,ServidorLBB
12,faculty_processing_total_ms,79.109097,1749085258,FacultadLBB:1,Programa:Prog_1_2
13,response_time_program_faculty_total_ms,80.416597,1749085258,Programa:Prog_1_2,Facultad:1
14,request_outcome,1.0,1749085258,Programa:Prog_1_2,Facultad:1
15,sol->prop_w4,0.129003,1749085259,Facultad_1,SERVER
16,faculty_server_sol_prop_roundtrip_ms,12.421275,1749085259,FacultadLBB:1,ServidorLBB
17,prop->res_w0,3.907738,1749085259,Fac_Desconocida,SERVER
18,faculty_server_ack_res_roundtrip_ms,9.128073,1749085259,FacultadLBB:1,ServidorLBB
19,faculty_processing_total_ms,95.000603,1749085259,FacultadLBB:1,Programa:Prog_1_3
20,response_time_program_faculty_total_ms,97.027584,1749085259,Programa:Prog_1_3,Facultad:1
21,request_outcome,1.0,1749085259,Programa:Prog_1_3,Facultad:1
22,sol->prop_w1,0.127253,1749085261,Facultad_1,SERVER
23,faculty_server_sol_prop_roundtrip_ms,12.575625,1749085261,FacultadLBB:1,ServidorLBB
24,prop->res_w2,4.575107,1749085261,Fac_Desconocida,SERVER
25,faculty_server_ack_res_roundtrip_ms,10.126733,1749085261,FacultadLBB:1,ServidorLBB
26,faculty_processing_total_ms,120.313718,1749085261,FacultadLBB:1,Programa:Prog_1_4
27,response_time_program_faculty_total_ms,121.439542,1749085261,Programa:Prog_1_4,Facultad:1
28,request_outcome,1.0,1749085261,Programa:Prog_1_4,Facultad:1
29,sol->prop_w3,0.128807,1749085262,Facultad_1,SERVER
30,faculty_server_sol_prop_roundtrip_ms,14.818163,1749085262,FacultadLBB:1,ServidorLBB
31,prop->res_w4,5.986396,1749085262,Fac_Desconocida,SERVER
32,faculty_server_ack_res_roundtrip_ms,14.61697,1749085262,FacultadLBB:1,ServidorLBB
33,faculty_processing_total_ms,137.0784,1749085262,FacultadLBB:1,Programa:Prog_1_5
34,response_time_program_faculty_total_ms,139.165153,1749085262,Programa:Prog_1_5,Facultad:1
35,request_outcome,1.0,1749085262,Programa:Prog_1_5,Facultad:1
36,sol->prop_w0,0.129825,1749085264,Facultad_2,SERVER
37,faculty_server_sol_prop_roundtrip_ms,18.32066,1749085264,FacultadLBB:2,ServidorLBB
38,prop->res_w1,5.019205,1749085264,Fac_Desconocida,SERVER
39,faculty_server_ack_res_roundtrip_ms,11.236585,1749085264,FacultadLBB:2,ServidorLBB
40,faculty_processing_total_ms,89.911534,1749085264,FacultadLBB:2,Programa:Prog_2_1
41,response_time_program_faculty_total_ms,92.847975,1749085264,Programa:Prog_2_1,Facultad:2
42,request_outcome,1.0,1749085264,Programa:Prog_2_1,Facultad:2
43,sol->prop_w2,0.119756,1749085265,Facultad_2,SERVER
44,faculty_server_sol_prop_roundtrip_ms,13.068793,1749085265,FacultadLBB:2,ServidorLBB
45,prop->res_w3,3.965936,1749085265,Fac_Desconocida,SERVER
46,faculty_server_ack_res_roundtrip_ms,10.449245,1749085265,FacultadLBB:2,ServidorLBB
47,faculty_processing_total_ms,84.542796,1749085265,FacultadLBB:2,Programa:Prog_2_2
48,response_time_program_faculty_total_ms,91.370495,1749085265,Programa:Prog_2_2,Facultad:2
49,request_outcome,1.0,1749085265,Programa:Prog_2_2,Facultad:2
50,sol->prop_w4,0.16385,1749085267,Facultad_2,SERVER
51,faculty_server_sol_prop_roundtrip_ms,9.750206,1749085267,FacultadLBB:2,ServidorLBB
52,prop->res_w0,3.743294,1749085267,Fac_Desconocida,SERVER
53,faculty_server_ack_res_roundtrip_ms,9.855727,1749085267,FacultadLBB:2,ServidorLBB
54,faculty_processing_total_ms,75.11577,1749085267,FacultadLBB:2,Programa:Prog_2_3
55,response_time_program_faculty_total_ms,76.399503,1749085267,Programa:Prog_2_3,Facultad:2
56,request_outcome,1.0,1749085267,Programa:Prog_2_3,Facultad:2
57,sol->prop_w1,0.150963,1749085268,Facultad_2,SERVER
58,faculty_server_sol_prop_roundtrip_ms,11.679463,1749085268,FacultadLBB:2,ServidorLBB
59,prop->res_w2,3.052923,1749085268,Fac_Desconocida,SERVER
60,faculty_server_ack_res_roundtrip_ms,11.673468,1749085268,FacultadLBB:2,ServidorLBB
61,faculty_processing_total_ms,82.666412,1749085268,FacultadLBB:2,Programa:Prog_2_4
62,response_time_program_faculty_total_ms,86.527382,1749085268,Programa:Prog_2_4,Facultad:2
63,request_outcome,1.0,1749085268,Programa:Prog_2_4,Facultad:2
64,sol->prop_w3,0.121338,1749085270,Facultad_2,SERVER
65,faculty_server_sol_prop_roundtrip_ms,15.740624,1749085270,FacultadLBB:2,ServidorLBB
66,prop->res_w4,8.343212,1749085270,Fac_Desconocida,SERVER
67,faculty_server_ack_res_roundtrip_ms,16.305539,1749085270,FacultadLBB:2,ServidorLBB
68,faculty_processing_total_ms,113.385222,1749085270,FacultadLBB:2,Programa:Prog_2_5
69,response_time_program_faculty_total_ms,115.360614,1749085270,Programa:Prog_2_5,Facultad:2
70,request_outcome,1.0,1749085270,Programa:Prog_2_5,Facultad:2
71,sol->prop_w0,0.135481,1749085271,Facultad_3,SERVER
72,faculty_server_sol_prop_roundtrip_ms,11.592575,1749085271,FacultadLBB:3,ServidorLBB
73,prop->res_w1,3.556391,1749085271,Fac_Desconocida,SERVER
74,faculty_server_ack_res_roundtrip_ms,10.884,1749085271,FacultadLBB:3,ServidorLBB
75,faculty_processing_total_ms,87.547908,1749085271,FacultadLBB:3,Programa:Prog_3_1
76,response_time_program_faculty_total_ms,90.023168,1749085271,Programa:Prog_3_1,Facultad:3
77,request_outcome,1.0,1749085272,Programa:Prog_3_1,Facultad:3
78,sol->prop_w2,0.120993,1749085273,Facultad_3,SERVER
79,faculty_server_sol_prop_roundtrip_ms,9.899039,1749085273,FacultadLBB:3,ServidorLBB
