id,kind,value,ts,src,dst
1,sol->prop_w0,0.083447,1749082605,Facultad_1,ServidorAsync
2,faculty_server_sol_prop_roundtrip_ms,13.281772,1749082605,FacultadAsync:1,ServidorAsync
3,prop->res_mon,6.133728,1749082606,Facultad_1,ServidorAsync
4,faculty_server_ack_res_roundtrip_ms,309.691877,1749082606,FacultadAsync:1,ServidorAsync
5,faculty_processing_total_ms,398.47318,1749082606,FacultadAsync:1,Programa:Prog_1_1
6,response_time_program_faculty_total_ms,399.774052,1749082606,Programa:Prog_1_1,Facultad:1
7,request_outcome,1.0,1749082606,Programa:Prog_1_1,Facultad:1
8,sol->prop_w2,0.062808,1749082608,Facultad_1,ServidorAsync
9,faculty_server_sol_prop_roundtrip_ms,15.859846,1749082608,FacultadAsync:1,ServidorAsync
10,prop->res_mon,5.21836,1749082608,Facultad_1,ServidorAsync
11,faculty_server_ack_res_roundtrip_ms,12.983508,1749082608,FacultadAsync:1,ServidorAsync
12,faculty_processing_total_ms,116.698623,1749082608,FacultadAsync:1,Programa:Prog_1_2
13,response_time_program_faculty_total_ms,118.883037,1749082608,Programa:Prog_1_2,Facultad:1
14,request_outcome,1.0,1749082608,Programa:Prog_1_2,Facultad:1
15,sol->prop_w4,0.076996,1749082610,Facultad_1,ServidorAsync
16,faculty_server_sol_prop_roundtrip_ms,11.666038,1749082610,FacultadAsync:1,ServidorAsync
17,faculty_server_ack_res_roundtrip_ms,5033.232078,1749082615,FacultadAsync:1,ServidorAsync
18,faculty_processing_total_ms,5121.92592,1749082616,FacultadAsync:1,Programa:Prog_1_3
19,sol->prop_w0,0.070178,1749082616,Facultad_1,ServidorAsync
20,faculty_server_sol_prop_roundtrip_ms,12.870952,1749082616,FacultadAsync:1,ServidorAsync
21,response_time_program_faculty_total_ms,5123.239291,1749082616,Programa:Prog_1_3,Facultad:1
22,request_outcome,3.0,1749082616,Programa:Prog_1_3,Facultad:1
23,prop->res_mon,3.152436,1749082616,Facultad_1,ServidorAsync
24,faculty_server_ack_res_roundtrip_ms,107.546506,1749082616,FacultadAsync:1,ServidorAsync
25,faculty_processing_total_ms,195.665188,1749082616,FacultadAsync:1,Programa:Prog_1_5
26,sol->prop_w2,0.069606,1749082616,Facultad_1,ServidorAsync
27,faculty_server_sol_prop_roundtrip_ms,13.61953,1749082616,FacultadAsync:1,ServidorAsync
28,response_time_program_faculty_total_ms,344.395854,1749082616,Programa:Prog_1_5,Facultad:1
29,request_outcome,1.0,1749082616,Programa:Prog_1_5,Facultad:1
30,prop->res_mon,3.187842,1749082616,Facultad_1,ServidorAsync
31,faculty_server_ack_res_roundtrip_ms,69.368151,1749082616,FacultadAsync:1,ServidorAsync
32,faculty_processing_total_ms,169.671221,1749082616,FacultadAsync:1,Programa:Prog_1_4
33,response_time_program_faculty_total_ms,3022.952949,1749082616,Programa:Prog_1_4,Facultad:1
34,request_outcome,1.0,1749082616,Programa:Prog_1_4,Facultad:1
35,sol->prop_w4,0.061943,1749082618,Facultad_2,ServidorAsync
36,faculty_server_sol_prop_roundtrip_ms,13.900701,1749082618,FacultadAsync:2,ServidorAsync
37,faculty_server_ack_res_roundtrip_ms,5089.88408,1749082623,FacultadAsync:2,ServidorAsync
38,faculty_processing_total_ms,5171.962774,1749082623,FacultadAsync:2,Programa:Prog_2_1
39,response_time_program_faculty_total_ms,5174.013239,1749082623,Programa:Prog_2_1,Facultad:2
40,sol->prop_w0,0.068547,1749082623,Facultad_2,ServidorAsync
41,request_outcome,3.0,1749082623,Programa:Prog_2_1,Facultad:2
42,faculty_server_sol_prop_roundtrip_ms,51.42279,1749082623,FacultadAsync:2,ServidorAsync
43,prop->res_mon,3.276891,1749082623,Facultad_2,ServidorAsync
44,faculty_server_ack_res_roundtrip_ms,41.412454,1749082623,FacultadAsync:2,ServidorAsync
45,faculty_processing_total_ms,169.657674,1749082623,FacultadAsync:2,Programa:Prog_2_3
46,sol->prop_w2,0.068666,1749082623,Facultad_2,ServidorAsync
47,faculty_server_sol_prop_roundtrip_ms,8.547852,1749082623,FacultadAsync:2,ServidorAsync
48,response_time_program_faculty_total_ms,357.306509,1749082623,Programa:Prog_2_3,Facultad:2
49,request_outcome,1.0,1749082623,Programa:Prog_2_3,Facultad:2
50,prop->res_mon,4.296227,1749082623,Facultad_2,ServidorAsync
