id,kind,value,ts,src,dst
1,sol->prop_w0,0.196233,1749083803,Facultad_1,SERVER
2,faculty_server_sol_prop_roundtrip_ms,11.893196,1749083803,FacultadLBB:1,ServidorLBB
3,prop->res_w1,4.362554,1749083803,Fac_Desconocida,SERVER
4,faculty_server_ack_res_roundtrip_ms,11.852184,1749083803,FacultadLBB:1,ServidorLBB
5,faculty_processing_total_ms,96.419885,1749083803,FacultadLBB:1,Programa:Prog_1_1
6,response_time_program_faculty_total_ms,98.745449,1749083803,Programa:Prog_1_1,Facultad:1
7,request_outcome,1.0,1749083803,Programa:Prog_1_1,Facultad:1
8,sol->prop_w2,0.125436,1749083804,Facultad_1,SERVER
9,faculty_server_sol_prop_roundtrip_ms,8.265331,1749083804,FacultadLBB:1,ServidorLBB
10,prop->res_w3,3.756193,1749083804,Fac_Desconocida,SERVER
11,faculty_server_ack_res_roundtrip_ms,8.562006,1749083804,FacultadLBB:1,ServidorLBB
12,faculty_processing_total_ms,107.152984,1749083804,FacultadLBB:1,Programa:Prog_1_2
13,response_time_program_faculty_total_ms,111.841001,1749083804,Programa:Prog_1_2,Facultad:1
14,request_outcome,1.0,1749083804,Programa:Prog_1_2,Facultad:1
15,sol->prop_w4,0.128531,1749083806,Facultad_1,SERVER
16,faculty_server_sol_prop_roundtrip_ms,15.652093,1749083806,FacultadLBB:1,ServidorLBB
17,prop->res_w0,8.274771,1749083806,Fac_Desconocida,SERVER
18,faculty_server_ack_res_roundtrip_ms,15.799419,1749083806,FacultadLBB:1,ServidorLBB
19,faculty_processing_total_ms,109.526941,1749083806,FacultadLBB:1,Programa:Prog_1_3
20,response_time_program_faculty_total_ms,114.083092,1749083806,Programa:Prog_1_3,Facultad:1
21,request_outcome,1.0,1749083806,Programa:Prog_1_3,Facultad:1
22,sol->prop_w1,0.131866,1749083807,Facultad_1,SERVER
23,faculty_server_sol_prop_roundtrip_ms,21.486507,1749083807,FacultadLBB:1,ServidorLBB
24,prop->res_w2,9.703055,1749083807,Fac_Desconocida,SERVER
25,faculty_server_ack_res_roundtrip_ms,17.459646,1749083807,FacultadLBB:1,ServidorLBB
26,faculty_processing_total_ms,184.87704,1749083807,FacultadLBB:1,Programa:Prog_1_4
27,response_time_program_faculty_total_ms,188.221391,1749083807,Programa:Prog_1_4,Facultad:1
28,request_outcome,1.0,1749083808,Programa:Prog_1_4,Facultad:1
29,sol->prop_w3,0.140496,1749083809,Facultad_1,SERVER
30,faculty_server_sol_prop_roundtrip_ms,15.485938,1749083809,FacultadLBB:1,ServidorLBB
31,prop->res_w4,3.072964,1749083809,Fac_Desconocida,SERVER
32,faculty_server_ack_res_roundtrip_ms,12.315353,1749083809,FacultadLBB:1,ServidorLBB
33,faculty_processing_total_ms,100.712929,1749083809,FacultadLBB:1,Programa:Prog_1_5
34,response_time_program_faculty_total_ms,102.576908,1749083809,Programa:Prog_1_5,Facultad:1
35,request_outcome,1.0,1749083809,Programa:Prog_1_5,Facultad:1
36,sol->prop_w0,0.143519,1749083810,Facultad_2,SERVER
37,faculty_server_sol_prop_roundtrip_ms,16.615673,1749083810,FacultadLBB:2,ServidorLBB
38,prop->res_w1,3.706834,1749083810,Fac_Desconocida,SERVER
39,faculty_server_ack_res_roundtrip_ms,8.780218,1749083810,FacultadLBB:2,ServidorLBB
40,faculty_processing_total_ms,79.439777,1749083810,FacultadLBB:2,Programa:Prog_2_1
41,response_time_program_faculty_total_ms,81.911464,1749083810,Programa:Prog_2_1,Facultad:2
42,request_outcome,1.0,1749083810,Programa:Prog_2_1,Facultad:2
43,sol->prop_w2,0.131231,1749083812,Facultad_2,SERVER
44,faculty_server_sol_prop_roundtrip_ms,13.854822,1749083812,FacultadLBB:2,ServidorLBB
45,prop->res_w3,4.158258,1749083812,Fac_Desconocida,SERVER
46,faculty_server_ack_res_roundtrip_ms,11.106664,1749083812,FacultadLBB:2,ServidorLBB
47,faculty_processing_total_ms,86.096562,1749083812,FacultadLBB:2,Programa:Prog_2_2
48,response_time_program_faculty_total_ms,87.55733,1749083812,Programa:Prog_2_2,Facultad:2
